ProductID,Weight,FatContent,ProductVisibility,ProductType,MRP,Quantity,  Sales  ,OutletID,Date,OutletSize,LocationType,OutletType
FDW58,21,Low Fat,0,Snack Foods,108,10000," 1,078,622.00 ",OUT049,1999.00,Medium,Tier 1,Supermarket Type1
FDW14,8,reg,0,Dairy,87,10000," 873,198.00 ",OUT017,2007.00,,Tier 2,Supermarket Type1
NCN55,15,Low Fat,0,Others,242,10000," 2,417,538.00 ",OUT010,1998.00,,Tier 3,Grocery Store
FDQ58,7,Low Fat,0,Snack Foods,155,10000," 1,550,340.00 ",OUT017,2007.00,,Tier 2,Supermarket Type1
FDY38,,Regular,0,Dairy,234,10000," 2,342,300.00 ",OUT027,1985.00,Medium,Tier 3,Supermarket Type3
FDH56,10,Regular,0,Fruits and Vegetables,117,10000," 1,171,492.00 ",OUT046,1997.00,Small,Tier 1,Supermarket Type1
FDL48,19,Regular,0,Baking Goods,50,10001," 501,034.00 ",OUT018,2009.00,Medium,Tier 3,Supermarket Type2
FDC48,,Low Fat,0,Baking Goods,81,10000," 810,592.00 ",OUT027,1985.00,Medium,Tier 3,Supermarket Type3
FDN33,6,Regular,0,Snack Foods,96,10000," 957,436.00 ",OUT045,2002.00,,Tier 2,Supermarket Type1
FDA36,6,Low Fat,0,Baking Goods,187,10000," 1,868,924.00 ",OUT017,2007.00,,Tier 2,Supermarket Type1
FDT44,17,Low Fat,0,Fruits and Vegetables,118,10000," 1,183,466.00 ",OUT017,2007.00,,Tier 2,Supermarket Type1
FDQ56,7,Low Fat,0,Fruits and Vegetables,85,10000," 853,908.00 ",OUT045,2002.00,,Tier 2,Supermarket Type1
NCC54,,Low Fat,0,Health and Hygiene,240,10000," 2,404,196.00 ",OUT019,1985.00,Small,Tier 1,Grocery Store
FDU11,5,Low Fat,0,Breads,122,10000," 1,223,098.00 ",OUT049,1999.00,Medium,Tier 1,Supermarket Type1
DRL59,17,LF,0,Hard Drinks,52,10000," 520,298.00 ",OUT013,1987.00,High,Tier 3,Supermarket Type1
FDM24,6,Regular,0,Baking Goods,152,10000," 1,516,366.00 ",OUT049,1999.00,Medium,Tier 1,Supermarket Type1
FDI57,20,Low Fat,0,Seafood,199,10000," 1,987,768.00 ",OUT045,2002.00,,Tier 2,Supermarket Type1
DRC12,18,Low Fat,0,Soft Drinks,192,10000," 1,922,188.00 ",OUT018,2009.00,Medium,Tier 3,Supermarket Type2
NCM42,,Low Fat,0,Household,110,10000," 1,096,912.00 ",OUT027,1985.00,Medium,Tier 3,Supermarket Type3
FDA46,14,Low Fat,0,Snack Foods,194,10000," 1,937,136.00 ",OUT010,1998.00,,Tier 3,Grocery Store
FDA31,7,Low Fat,0,Fruits and Vegetables,175,10000," 1,750,080.00 ",OUT013,1987.00,High,Tier 3,Supermarket Type1
NCJ31,19,Low Fat,0,Others,240,10000," 2,399,196.00 ",OUT035,2004.00,Small,Tier 2,Supermarket Type1
FDG52,14,LF,0,Frozen Foods,48,10000," 477,402.00 ",OUT046,1997.00,Small,Tier 1,Supermarket Type1
NCL19,,Low Fat,0,Others,142,10000," 1,423,470.00 ",OUT019,1985.00,Small,Tier 1,Grocery Store
FDS10,19,Low Fat,0,Snack Foods,181,10000," 1,807,318.00 ",OUT035,2004.00,Small,Tier 2,Supermarket Type1
FDX22,7,Regular,0,Snack Foods,209,10000," 2,094,928.00 ",OUT010,1998.00,,Tier 3,Grocery Store
NCF19,13,Low Fat,0,Household,48,10001," 476,034.00 ",OUT035,2004.00,Small,Tier 2,Supermarket Type1
NCE06,6,Low Fat,0,Household,161,10000," 1,613,894.00 ",OUT046,1997.00,Small,Tier 1,Supermarket Type1
DRC27,14,Low Fat,0,Dairy,245,10000," 2,446,802.00 ",OUT046,1997.00,Small,Tier 1,Supermarket Type1
FDE21,13,LF,0,Fruits and Vegetables,117,10000," 1,165,492.00 ",OUT035,2004.00,Small,Tier 2,Supermarket Type1
NCR42,,Low Fat,0,Household,32,10000," 320,900.00 ",OUT019,1985.00,Small,Tier 1,Grocery Store
FDX51,10,Regular,0,Meat,195,10000," 1,949,452.00 ",OUT018,2009.00,Medium,Tier 3,Supermarket Type2
NCR06,13,Low Fat,0,Household,42,10000," 424,112.00 ",OUT018,2009.00,Medium,Tier 3,Supermarket Type2
FDU31,,Regular,0,Fruits and Vegetables,218,10000," 2,177,508.00 ",OUT027,1985.00,Medium,Tier 3,Supermarket Type3
FDU59,6,Low Fat,0,Breads,164,10000," 1,642,552.00 ",OUT017,2007.00,,Tier 2,Supermarket Type1
FDR03,,Regular,0,Meat,205,10000," 2,050,980.00 ",OUT027,1985.00,Medium,Tier 3,Supermarket Type3
FDS49,,Low Fat,0,Canned,80,10001," 803,644.00 ",OUT027,1985.00,Medium,Tier 3,Supermarket Type3
FDD48,10,Low Fat,0,Baking Goods,114,10000," 1,140,176.00 ",OUT010,1998.00,,Tier 3,Grocery Store
NCF18,18,Low Fat,0,Household,192,10000," 1,921,504.00 ",OUT017,2007.00,,Tier 2,Supermarket Type1
NCD43,,Low Fat,0,Household,103,10000," 1,033,964.00 ",OUT027,1985.00,Medium,Tier 3,Supermarket Type3
NCD54,21,Low Fat,0,Household,143,10000," 1,433,786.00 ",OUT018,2009.00,Medium,Tier 3,Supermarket Type2
FDY19,20,LF,0,Fruits and Vegetables,117,10000," 1,166,466.00 ",OUT010,1998.00,,Tier 3,Grocery Store
NCY54,8,Low Fat,0,Household,174,10000," 1,739,422.00 ",OUT017,2007.00,,Tier 2,Supermarket Type1
NCL19,15,Low Fat,0,Others,145,10000," 1,448,470.00 ",OUT018,2009.00,Medium,Tier 3,Supermarket Type2
FDP23,7,Low Fat,0,Breads,217,10000," 2,172,166.00 ",OUT010,1998.00,,Tier 3,Grocery Store
FDC26,10,Low Fat,0,Canned,112,10000," 1,121,886.00 ",OUT013,1987.00,High,Tier 3,Supermarket Type1
FDR14,12,Low Fat,0,Dairy,56,10000," 558,298.00 ",OUT010,1998.00,,Tier 3,Grocery Store
NCS41,13,Low Fat,0,Health and Hygiene,183,10000," 1,832,608.00 ",OUT035,2004.00,Small,Tier 2,Supermarket Type1
FDF41,12,Low Fat,0,Frozen Foods,248,10000," 2,481,460.00 ",OUT035,2004.00,Small,Tier 2,Supermarket Type1
FDU34,18,Low Fat,0,Snack Foods,125,10000," 1,249,046.00 ",OUT046,1997.00,Small,Tier 1,Supermarket Type1
DRH11,6,Low Fat,0,Hard Drinks,57,10000," 570,614.00 ",OUT046,1997.00,Small,Tier 1,Supermarket Type1
FDM03,13,Low Fat,0,Meat,107,10000," 1,066,938.00 ",OUT013,1987.00,High,Tier 3,Supermarket Type1
FDS31,13,Regular,0,Fruits and Vegetables,181,10000," 1,810,318.00 ",OUT017,2007.00,,Tier 2,Supermarket Type1
FDJ20,21,Regular,0,Fruits and Vegetables,122,10000," 1,223,388.00 ",OUT017,2007.00,,Tier 2,Supermarket Type1
FDV44,,Regular,0,Fruits and Vegetables,189,10000," 1,887,188.00 ",OUT027,1985.00,Medium,Tier 3,Supermarket Type3
FDG02,8,Low Fat,0,Canned,189,10000," 1,888,188.00 ",OUT049,1999.00,Medium,Tier 1,Supermarket Type1
FDA09,13,Regular,0,Snack Foods,180,10000," 1,796,660.00 ",OUT013,1987.00,High,Tier 3,Supermarket Type1
FDT04,17,LF,0,Frozen Foods,38,10001," 383,822.00 ",OUT013,1987.00,High,Tier 3,Supermarket Type1
FDL58,,Regular,0,Snack Foods,263,10000," 2,632,568.00 ",OUT019,1985.00,Small,Tier 1,Grocery Store
FDE52,10,Regular,0,Dairy,90,10000," 901,514.00 ",OUT045,2002.00,,Tier 2,Supermarket Type1
FDW12,8,Regular,0,Baking Goods,145,10000," 1,448,444.00 ",OUT035,2004.00,Small,Tier 2,Supermarket Type1
FDL51,21,Regular,0,Dairy,215,10000," 2,149,876.00 ",OUT017,2007.00,,Tier 2,Supermarket Type1
NCY42,,Low Fat,0,Household,141,10000," 1,413,470.00 ",OUT027,1985.00,Medium,Tier 3,Supermarket Type3
FDR07,21,Low Fat,0,Fruits and Vegetables,97,10000," 968,094.00 ",OUT017,2007.00,,Tier 2,Supermarket Type1
FDN40,6,Low Fat,0,Frozen Foods,153,10000," 1,526,998.00 ",OUT045,2002.00,,Tier 2,Supermarket Type1
FDB35,,Regular,0,Starchy Foods,90,10000," 903,804.00 ",OUT027,1985.00,Medium,Tier 3,Supermarket Type3
FDA22,7,low fat,0,Starchy Foods,166,10000," 1,658,158.00 ",OUT017,2007.00,,Tier 2,Supermarket Type1
NCL06,15,Low Fat,0,Household,263,10000," 2,625,594.00 ",OUT046,1997.00,Small,Tier 1,Supermarket Type1
FDI35,14,Low Fat,0,Starchy Foods,181,10000," 1,812,634.00 ",OUT013,1987.00,High,Tier 3,Supermarket Type1
NCW42,18,Low Fat,0,Household,222,10000," 2,216,456.00 ",OUT045,2002.00,,Tier 2,Supermarket Type1
NCX06,18,Low Fat,0,Household,180,10000," 1,800,976.00 ",OUT049,1999.00,Medium,Tier 1,Supermarket Type1
FDC37,,Low Fat,0,Baking Goods,108,10000," 1,081,938.00 ",OUT027,1985.00,Medium,Tier 3,Supermarket Type3
FDZ14,8,Regular,0,Dairy,122,10000," 1,223,756.00 ",OUT018,2009.00,Medium,Tier 3,Supermarket Type2
DRG49,8,Low Fat,0,Soft Drinks,245,10000," 2,452,486.00 ",OUT049,1999.00,Medium,Tier 1,Supermarket Type1
NCG06,16,Low Fat,0,Household,256,10000," 2,562,646.00 ",OUT045,2002.00,,Tier 2,Supermarket Type1
DRC36,13,Regular,0,Soft Drinks,174,10000," 1,737,054.00 ",OUT045,2002.00,,Tier 2,Supermarket Type1
FDV21,,Low Fat,0,Snack Foods,125,10000," 1,248,704.00 ",OUT019,1985.00,Small,Tier 1,Grocery Store
FDB53,13,Low Fat,0,Frozen Foods,149,10000," 1,486,392.00 ",OUT046,1997.00,Small,Tier 1,Supermarket Type1
DRP47,,Low Fat,0,Hard Drinks,252,10000," 2,524,382.00 ",OUT019,1985.00,Small,Tier 1,Grocery Store
FDA14,16,LF,0,Dairy,145,10000," 1,451,760.00 ",OUT013,1987.00,High,Tier 3,Supermarket Type1
DRC24,18,Low Fat,0,Soft Drinks,153,10000," 1,526,998.00 ",OUT035,2004.00,Small,Tier 2,Supermarket Type1
FDW21,5,Regular,0,Snack Foods,101,10000," 1,006,358.00 ",OUT018,2009.00,Medium,Tier 3,Supermarket Type2
NCH29,6,Low Fat,0,Health and Hygiene,97,10000," 973,726.00 ",OUT046,1997.00,Small,Tier 1,Supermarket Type1
FDU58,7,Regular,0,Snack Foods,189,10000," 1,886,898.00 ",OUT013,1987.00,High,Tier 3,Supermarket Type1
FDY27,6,Low Fat,0,Dairy,178,10000," 1,776,344.00 ",OUT017,2007.00,,Tier 2,Supermarket Type1
FDV56,16,Regular,0,Fruits and Vegetables,109,10000," 1,089,596.00 ",OUT035,2004.00,Small,Tier 2,Supermarket Type1
