ProductID,Weight,FatContent,ProductVisibility,ProductType,MRP, Sales , Budgeted sales ,OutletID,Date,OutletSize,LocationType,OutletType
FDW58,20.75,Low Fat,0.007564836,Snack Foods,107.8622," 1,078,622.00 "," 756,483.60 ",OUT049,1999,Medium,Tier 1,Supermarket Type1
FDW14,8.3,reg,0.038427677,Dairy,87.3198," 873,198.00 "," 3,842,767.70 ",OUT017,2007,,Tier 2,Supermarket Type1
NCN55,14.6,Low Fat,0.099574908,Others,241.7538," 2,417,538.00 "," 9,957,490.80 ",OUT010,1998,,Tier 3,Grocery Store
FDQ58,7.315,Low Fat,0.015388393,Snack Foods,155.034," 1,550,340.00 "," 1,538,839.30 ",OUT017,2007,,Tier 2,Supermarket Type1
FDY38,,Regular,0.118599314,Dairy,234.23," 2,342,300.00 "," 11,859,931.40 ",OUT027,1985,Medium,Tier 3,Supermarket Type3
FDH56,9.8,Regular,0.063817206,Fruits and Vegetables,117.1492," 1,171,492.00 "," 6,381,720.60 ",OUT046,1997,Small,Tier 1,Supermarket Type1
FDL48,19.35,Regular,0.082601537,Baking Goods,50.1034," 501,034.00 "," 8,260,153.70 ",OUT018,2009,Medium,Tier 3,Supermarket Type2
FDC48,,Low Fat,0.015782495,Baking Goods,81.0592," 810,592.00 "," 1,578,249.50 ",OUT027,1985,Medium,Tier 3,Supermarket Type3
FDN33,6.305,Regular,0.123365446,Snack Foods,95.7436," 957,436.00 "," 12,336,544.60 ",OUT045,2002,,Tier 2,Supermarket Type1
FDA36,5.985,Low Fat,0.005698435,Baking Goods,186.8924," 1,868,924.00 "," 569,843.50 ",OUT017,2007,,Tier 2,Supermarket Type1
FDT44,16.6,Low Fat,0.103569075,Fruits and Vegetables,118.3466," 1,183,466.00 "," 10,356,907.50 ",OUT017,2007,,Tier 2,Supermarket Type1
FDQ56,6.59,Low Fat,0.10581147,Fruits and Vegetables,85.3908," 853,908.00 "," 10,581,147.00 ",OUT045,2002,,Tier 2,Supermarket Type1
NCC54,,Low Fat,0.171079215,Health and Hygiene,240.4196," 2,404,196.00 "," 17,107,921.50 ",OUT019,1985,Small,Tier 1,Grocery Store
FDU11,4.785,Low Fat,0.092737611,Breads,122.3098," 1,223,098.00 "," 9,273,761.10 ",OUT049,1999,Medium,Tier 1,Supermarket Type1
DRL59,16.75,LF,0.021206464,Hard Drinks,52.0298," 520,298.00 "," 2,120,646.40 ",OUT013,1987,High,Tier 3,Supermarket Type1
FDM24,6.135,Regular,0.0794507,Baking Goods,151.6366," 1,516,366.00 "," 7,945,070.00 ",OUT049,1999,Medium,Tier 1,Supermarket Type1
FDI57,19.85,Low Fat,0.05413521,Seafood,198.7768," 1,987,768.00 "," 5,413,521.00 ",OUT045,2002,,Tier 2,Supermarket Type1
DRC12,17.85,Low Fat,0.037980963,Soft Drinks,192.2188," 1,922,188.00 "," 3,798,096.30 ",OUT018,2009,Medium,Tier 3,Supermarket Type2
NCM42,,Low Fat,0.028184344,Household,109.6912," 1,096,912.00 "," 2,818,434.40 ",OUT027,1985,Medium,Tier 3,Supermarket Type3
FDA46,13.6,Low Fat,0.196897637,Snack Foods,193.7136," 1,937,136.00 "," 19,689,763.70 ",OUT010,1998,,Tier 3,Grocery Store
FDA31,7.1,Low Fat,0.109920138,Fruits and Vegetables,175.008," 1,750,080.00 "," 10,992,013.80 ",OUT013,1987,High,Tier 3,Supermarket Type1
NCJ31,19.2,Low Fat,0.182619235,Others,239.9196," 2,399,196.00 "," 18,261,923.50 ",OUT035,2004,Small,Tier 2,Supermarket Type1
FDG52,13.65,LF,0.065630844,Frozen Foods,47.7402," 477,402.00 "," 6,563,084.40 ",OUT046,1997,Small,Tier 1,Supermarket Type1
NCL19,,Low Fat,0.027447057,Others,142.347," 1,423,470.00 "," 2,744,705.70 ",OUT019,1985,Small,Tier 1,Grocery Store
FDS10,19.2,Low Fat,0.035178935,Snack Foods,180.7318," 1,807,318.00 "," 3,517,893.50 ",OUT035,2004,Small,Tier 2,Supermarket Type1
FDX22,6.785,Regular,0.038455125,Snack Foods,209.4928," 2,094,928.00 "," 3,845,512.50 ",OUT010,1998,,Tier 3,Grocery Store
NCF19,13,Low Fat,0.035102094,Household,47.6034," 476,034.00 "," 3,510,209.40 ",OUT035,2004,Small,Tier 2,Supermarket Type1
NCE06,5.825,Low Fat,0.091485232,Household,161.3894," 1,613,894.00 "," 9,148,523.20 ",OUT046,1997,Small,Tier 1,Supermarket Type1
DRC27,13.8,Low Fat,0.058102469,Dairy,244.6802," 2,446,802.00 "," 5,810,246.90 ",OUT046,1997,Small,Tier 1,Supermarket Type1
FDE21,12.8,LF,0.022940349,Fruits and Vegetables,116.5492," 1,165,492.00 "," 2,294,034.90 ",OUT035,2004,Small,Tier 2,Supermarket Type1
NCR42,,Low Fat,0.06737681,Household,32.09," 320,900.00 "," 6,737,681.00 ",OUT019,1985,Small,Tier 1,Grocery Store
FDX51,9.5,Regular,0.022148582,Meat,194.9452," 1,949,452.00 "," 2,214,858.20 ",OUT018,2009,Medium,Tier 3,Supermarket Type2
NCR06,12.5,Low Fat,0.006792707,Household,42.4112," 424,112.00 "," 679,270.70 ",OUT018,2009,Medium,Tier 3,Supermarket Type2
FDU31,,Regular,0.024870035,Fruits and Vegetables,217.7508," 2,177,508.00 "," 2,487,003.50 ",OUT027,1985,Medium,Tier 3,Supermarket Type3
FDU59,5.78,Low Fat,0.096931426,Breads,164.2552," 1,642,552.00 "," 9,693,142.60 ",OUT017,2007,,Tier 2,Supermarket Type1
FDR03,,Regular,0.008693632,Meat,205.098," 2,050,980.00 "," 869,363.20 ",OUT027,1985,Medium,Tier 3,Supermarket Type3
FDS49,,Low Fat,0.078961284,Canned,80.3644," 803,644.00 "," 7,896,128.40 ",OUT027,1985,Medium,Tier 3,Supermarket Type3
FDD48,10.395,Low Fat,0.050479463,Baking Goods,114.0176," 1,140,176.00 "," 5,047,946.30 ",OUT010,1998,,Tier 3,Grocery Store
NCF18,18.35,Low Fat,0.089485918,Household,192.1504," 1,921,504.00 "," 8,948,591.80 ",OUT017,2007,,Tier 2,Supermarket Type1
NCD43,,Low Fat,0.01594238,Household,103.3964," 1,033,964.00 "," 1,594,238.00 ",OUT027,1985,Medium,Tier 3,Supermarket Type3
NCD54,21.1,Low Fat,0.029127115,Household,143.3786," 1,433,786.00 "," 2,912,711.50 ",OUT018,2009,Medium,Tier 3,Supermarket Type2
FDY19,19.75,LF,0.069236421,Fruits and Vegetables,116.6466," 1,166,466.00 "," 6,923,642.10 ",OUT010,1998,,Tier 3,Grocery Store
NCY54,8.43,Low Fat,0.178699961,Household,173.9422," 1,739,422.00 "," 17,869,996.10 ",OUT017,2007,,Tier 2,Supermarket Type1
NCL19,15.35,Low Fat,0.015740089,Others,144.847," 1,448,470.00 "," 1,574,008.90 ",OUT018,2009,Medium,Tier 3,Supermarket Type2
