ProductID,Weight,FatContent,ProductVisibility,ProductType,MRP, Sales ,OutletID,Date,OutletSize,LocationType,OutletType
FDW58,20.75,Low Fat,0.01,Snack Foods,107.86,1078622,OUT049,6/21/1905,Medium,Tier 1,Supermarket Type1
FDW14,8.3,reg,0.04,Dairy,87.32,873198,OUT017,6/29/1905,,Tier 2,Supermarket Type1
NCN55,14.6,Low Fat,0.1,Others,241.75,2417538,OUT010,6/20/1905,,Tier 3,Grocery Store
FDQ58,7.32,Low Fat,0.02,Snack Foods,155.03,1550340,OUT017,6/29/1905,,Tier 2,Supermarket Type1
FDY38,,Regular,0.12,Dairy,234.23,2342300,OUT027,6/7/1905,Medium,Tier 3,Supermarket Type3
FDH56,9.8,Regular,0.06,Fruits and Vegetables,117.15,1171492,OUT046,6/19/1905,Small,Tier 1,Supermarket Type1
FDL48,19.35,Regular,0.08,Baking Goods,50.1,501034,OUT018,7/1/1905,Medium,Tier 3,Supermarket Type2
FDC48,,Low Fat,0.02,Baking Goods,81.06,810592,OUT027,6/7/1905,Medium,Tier 3,Supermarket Type3
FDN33,6.31,Regular,0.12,Snack Foods,95.74,957436,OUT045,6/24/1905,,Tier 2,Supermarket Type1
FDA36,5.99,Low Fat,0.01,Baking Goods,186.89,1868924,OUT017,6/29/1905,,Tier 2,Supermarket Type1
FDT44,16.6,Low Fat,0.1,Fruits and Vegetables,118.35,1183466,OUT017,6/29/1905,,Tier 2,Supermarket Type1
FDQ56,6.59,Low Fat,0.11,Fruits and Vegetables,85.39,853908,OUT045,6/24/1905,,Tier 2,Supermarket Type1
NCC54,,Low Fat,0.17,Health and Hygiene,240.42,2404196,OUT019,6/7/1905,Small,Tier 1,Grocery Store
FDU11,4.79,Low Fat,0.09,Breads,122.31,1223098,OUT049,6/21/1905,Medium,Tier 1,Supermarket Type1
DRL59,16.75,LF,0.02,Hard Drinks,52.03,520298,OUT013,6/9/1905,High,Tier 3,Supermarket Type1
FDM24,6.14,Regular,0.08,Baking Goods,151.64,1516366,OUT049,6/21/1905,Medium,Tier 1,Supermarket Type1
FDI57,19.85,Low Fat,0.05,Seafood,198.78,1987768,OUT045,6/24/1905,,Tier 2,Supermarket Type1
DRC12,17.85,Low Fat,0.04,Soft Drinks,192.22,1922188,OUT018,7/1/1905,Medium,Tier 3,Supermarket Type2
NCM42,,Low Fat,0.03,Household,109.69,1096912,OUT027,6/7/1905,Medium,Tier 3,Supermarket Type3
FDA46,13.6,Low Fat,0.2,Snack Foods,193.71,1937136,OUT010,6/20/1905,,Tier 3,Grocery Store
FDA31,7.1,Low Fat,0.11,Fruits and Vegetables,175.01,1750080,OUT013,6/9/1905,High,Tier 3,Supermarket Type1
NCJ31,19.2,Low Fat,0.18,Others,239.92,2399196,OUT035,6/26/1905,Small,Tier 2,Supermarket Type1
FDG52,13.65,LF,0.07,Frozen Foods,47.74,477402,OUT046,6/19/1905,Small,Tier 1,Supermarket Type1
NCL19,,Low Fat,0.03,Others,142.35,1423470,OUT019,6/7/1905,Small,Tier 1,Grocery Store
FDS10,19.2,Low Fat,0.04,Snack Foods,180.73,1807318,OUT035,6/26/1905,Small,Tier 2,Supermarket Type1
FDX22,6.79,Regular,0.04,Snack Foods,209.49,2094928,OUT010,6/20/1905,,Tier 3,Grocery Store
NCF19,13,Low Fat,0.04,Household,47.6,476034,OUT035,6/26/1905,Small,Tier 2,Supermarket Type1
NCE06,5.83,Low Fat,0.09,Household,161.39,1613894,OUT046,6/19/1905,Small,Tier 1,Supermarket Type1
DRC27,13.8,Low Fat,0.06,Dairy,244.68,2446802,OUT046,6/19/1905,Small,Tier 1,Supermarket Type1
FDE21,12.8,LF,0.02,Fruits and Vegetables,116.55,1165492,OUT035,6/26/1905,Small,Tier 2,Supermarket Type1
NCR42,,Low Fat,0.07,Household,32.09,320900,OUT019,6/7/1905,Small,Tier 1,Grocery Store
FDX51,9.5,Regular,0.02,Meat,194.95,1949452,OUT018,7/1/1905,Medium,Tier 3,Supermarket Type2
NCR06,12.5,Low Fat,0.01,Household,42.41,424112,OUT018,7/1/1905,Medium,Tier 3,Supermarket Type2
FDU31,,Regular,0.02,Fruits and Vegetables,217.75,2177508,OUT027,6/7/1905,Medium,Tier 3,Supermarket Type3
FDU59,5.78,Low Fat,0.1,Breads,164.26,1642552,OUT017,6/29/1905,,Tier 2,Supermarket Type1
FDR03,,Regular,0.01,Meat,205.1,2050980,OUT027,6/7/1905,Medium,Tier 3,Supermarket Type3
FDS49,,Low Fat,0.08,Canned,80.36,803644,OUT027,6/7/1905,Medium,Tier 3,Supermarket Type3
FDD48,10.4,Low Fat,0.05,Baking Goods,114.02,1140176,OUT010,6/20/1905,,Tier 3,Grocery Store
NCF18,18.35,Low Fat,0.09,Household,192.15,1921504,OUT017,6/29/1905,,Tier 2,Supermarket Type1
NCD43,,Low Fat,0.02,Household,103.4,1033964,OUT027,6/7/1905,Medium,Tier 3,Supermarket Type3
NCD54,21.1,Low Fat,0.03,Household,143.38,1433786,OUT018,7/1/1905,Medium,Tier 3,Supermarket Type2
FDY19,19.75,LF,0.07,Fruits and Vegetables,116.65,1166466,OUT010,6/20/1905,,Tier 3,Grocery Store
NCY54,8.43,Low Fat,0.18,Household,173.94,1739422,OUT017,6/29/1905,,Tier 2,Supermarket Type1
NCL19,15.35,Low Fat,0.02,Others,144.85,1448470,OUT018,7/1/1905,Medium,Tier 3,Supermarket Type2
FDP23,6.71,Low Fat,0.06,Breads,217.22,2172166,OUT010,6/20/1905,,Tier 3,Grocery Store
FDC26,10.2,Low Fat,0.13,Canned,112.19,1121886,OUT013,6/9/1905,High,Tier 3,Supermarket Type1
FDR14,11.65,Low Fat,0.29,Dairy,55.83,558298,OUT010,6/20/1905,,Tier 3,Grocery Store
NCS41,12.85,Low Fat,0.05,Health and Hygiene,183.26,1832608,OUT035,6/26/1905,Small,Tier 2,Supermarket Type1
FDF41,12.15,Low Fat,0.13,Frozen Foods,248.15,2481460,OUT035,6/26/1905,Small,Tier 2,Supermarket Type1
FDU34,18.25,Low Fat,0.08,Snack Foods,124.9,1249046,OUT046,6/19/1905,Small,Tier 1,Supermarket Type1
DRH11,5.98,Low Fat,0.08,Hard Drinks,57.06,570614,OUT046,6/19/1905,Small,Tier 1,Supermarket Type1
FDM03,12.65,Low Fat,0.12,Meat,106.69,1066938,OUT013,6/9/1905,High,Tier 3,Supermarket Type1
