ProductID,Weight,FatContent,ProductVisibility,ProductType,MRP, Sales ,OutletID,Date,OutletSize,LocationType,OutletType
FDW58,20.75,Low Fat,0.01,Snack Foods,107.86,1078622.00,OUT049,6/21/1905,Medium,Tier 1,Supermarket Type1
FDW14,8.30,reg,0.04,Dairy,87.32,873198.00,OUT017,6/29/1905,,Tier 2,Supermarket Type1
NCN55,14.60,Low Fat,0.10,Others,241.75,2417538.00,OUT010,6/20/1905,,Tier 3,Grocery Store
FDQ58,7.32,Low Fat,0.02,Snack Foods,155.03,1550340.00,OUT017,6/29/1905,,Tier 2,Supermarket Type1
FDY38,,Regular,0.12,Dairy,234.23,2342300.00,OUT027,6/7/1905,Medium,Tier 3,Supermarket Type3
FDH56,9.80,Regular,0.06,Fruits and Vegetables,117.15,1171492.00,OUT046,6/19/1905,Small,Tier 1,Supermarket Type1
FDL48,19.35,Regular,0.08,Baking Goods,50.10,501034.00,OUT018,7/1/1905,Medium,Tier 3,Supermarket Type2
FDC48,,Low Fat,0.02,Baking Goods,81.06,810592.00,OUT027,6/7/1905,Medium,Tier 3,Supermarket Type3
FDN33,6.31,Regular,0.12,Snack Foods,95.74,957436.00,OUT045,6/24/1905,,Tier 2,Supermarket Type1
FDA36,5.99,Low Fat,0.01,Baking Goods,186.89,1868924.00,OUT017,6/29/1905,,Tier 2,Supermarket Type1
FDT44,16.60,Low Fat,0.10,Fruits and Vegetables,118.35,1183466.00,OUT017,6/29/1905,,Tier 2,Supermarket Type1
FDQ56,6.59,Low Fat,0.11,Fruits and Vegetables,85.39,853908.00,OUT045,6/24/1905,,Tier 2,Supermarket Type1
NCC54,,Low Fat,0.17,Health and Hygiene,240.42,2404196.00,OUT019,6/7/1905,Small,Tier 1,Grocery Store
FDU11,4.79,Low Fat,0.09,Breads,122.31,1223098.00,OUT049,6/21/1905,Medium,Tier 1,Supermarket Type1
DRL59,16.75,LF,0.02,Hard Drinks,52.03,520298.00,OUT013,6/9/1905,High,Tier 3,Supermarket Type1
FDM24,6.14,Regular,0.08,Baking Goods,151.64,1516366.00,OUT049,6/21/1905,Medium,Tier 1,Supermarket Type1
FDI57,19.85,Low Fat,0.05,Seafood,198.78,1987768.00,OUT045,6/24/1905,,Tier 2,Supermarket Type1
DRC12,17.85,Low Fat,0.04,Soft Drinks,192.22,1922188.00,OUT018,7/1/1905,Medium,Tier 3,Supermarket Type2
NCM42,,Low Fat,0.03,Household,109.69,1096912.00,OUT027,6/7/1905,Medium,Tier 3,Supermarket Type3
FDA46,13.60,Low Fat,0.20,Snack Foods,193.71,1937136.00,OUT010,6/20/1905,,Tier 3,Grocery Store
FDA31,7.10,Low Fat,0.11,Fruits and Vegetables,175.01,1750080.00,OUT013,6/9/1905,High,Tier 3,Supermarket Type1
NCJ31,19.20,Low Fat,0.18,Others,239.92,2399196.00,OUT035,6/26/1905,Small,Tier 2,Supermarket Type1
FDG52,13.65,LF,0.07,Frozen Foods,47.74,477402.00,OUT046,6/19/1905,Small,Tier 1,Supermarket Type1
NCL19,,Low Fat,0.03,Others,142.35,1423470.00,OUT019,6/7/1905,Small,Tier 1,Grocery Store
FDS10,19.20,Low Fat,0.04,Snack Foods,180.73,1807318.00,OUT035,6/26/1905,Small,Tier 2,Supermarket Type1
FDX22,6.79,Regular,0.04,Snack Foods,209.49,2094928.00,OUT010,6/20/1905,,Tier 3,Grocery Store
NCF19,13.00,Low Fat,0.04,Household,47.60,476034.00,OUT035,6/26/1905,Small,Tier 2,Supermarket Type1
NCE06,5.83,Low Fat,0.09,Household,161.39,1613894.00,OUT046,6/19/1905,Small,Tier 1,Supermarket Type1
DRC27,13.80,Low Fat,0.06,Dairy,244.68,2446802.00,OUT046,6/19/1905,Small,Tier 1,Supermarket Type1
FDE21,12.80,LF,0.02,Fruits and Vegetables,116.55,1165492.00,OUT035,6/26/1905,Small,Tier 2,Supermarket Type1
NCR42,,Low Fat,0.07,Household,32.09,320900.00,OUT019,6/7/1905,Small,Tier 1,Grocery Store
