Store,Date, Weekly_Sales ,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment
1.00,5/2/2010," 1,643,690.90 ",0,42.31,2.57,211.10,8.11
1.00,12/2/2010," 1,641,957.44 ",1,38.51,2.55,211.24,8.11
1.00,19-02-2010," 1,611,968.17 ",0,39.93,2.51,211.29,8.11
1.00,26-02-2010," 1,409,727.59 ",0,46.63,2.56,211.32,8.11
1.00,5/3/2010," 1,554,806.68 ",0,46.50,2.63,211.35,8.11
1.00,12/3/2010," 1,439,541.59 ",0,57.79,2.67,211.38,8.11
1.00,19-03-2010," 1,472,515.79 ",0,54.58,2.72,211.22,8.11
1.00,26-03-2010," 1,404,429.92 ",0,51.45,2.73,211.02,8.11
1.00,2/4/2010," 1,594,968.28 ",0,62.27,2.72,210.82,7.81
1.00,9/4/2010," 1,545,418.53 ",0,65.86,2.77,210.62,7.81
1.00,16-04-2010," 1,466,058.28 ",0,66.32,2.81,210.49,7.81
1.00,23-04-2010," 1,391,256.12 ",0,64.84,2.80,210.44,7.81
1.00,30-04-2010," 1,425,100.71 ",0,67.41,2.78,210.39,7.81
1.00,7/5/2010," 1,603,955.12 ",0,72.55,2.84,210.34,7.81
1.00,14-05-2010," 1,494,251.50 ",0,74.78,2.85,210.34,7.81
1.00,21-05-2010," 1,399,662.07 ",0,76.44,2.83,210.62,7.81
1.00,28-05-2010," 1,432,069.95 ",0,80.44,2.76,210.90,7.81
1.00,4/6/2010," 1,615,524.71 ",0,80.69,2.71,211.18,7.81
1.00,11/6/2010," 1,542,561.09 ",0,80.43,2.67,211.46,7.81
1.00,18-06-2010," 1,503,284.06 ",0,84.11,2.64,211.45,7.81
1.00,25-06-2010," 1,422,711.60 ",0,84.34,2.65,211.34,7.81
1.00,2/7/2010," 1,492,418.14 ",0,80.91,2.67,211.22,7.79
1.00,9/7/2010," 1,546,074.18 ",0,80.48,2.64,211.11,7.79
1.00,16-07-2010," 1,448,938.92 ",0,83.15,2.62,211.10,7.79
1.00,23-07-2010," 1,385,065.20 ",0,83.36,2.61,211.24,7.79
1.00,30-07-2010," 1,371,986.60 ",0,81.84,2.64,211.37,7.79
1.00,6/8/2010," 1,605,491.78 ",0,87.16,2.63,211.50,7.79
1.00,13-08-2010," 1,508,237.76 ",0,87.00,2.69,211.64,7.79
1.00,20-08-2010," 1,513,080.49 ",0,86.65,2.66,211.60,7.79
1.00,27-08-2010," 1,449,142.92 ",0,85.22,2.62,211.57,7.79
1.00,3/9/2010," 1,540,163.53 ",0,81.21,2.58,211.53,7.79
1.00,10/9/2010," 1,507,460.69 ",1,78.69,2.57,211.50,7.79
1.00,17-09-2010," 1,430,378.67 ",0,82.11,2.58,211.52,7.79
1.00,24-09-2010," 1,351,791.03 ",0,80.94,2.62,211.60,7.79
1.00,1/10/2010," 1,453,329.50 ",0,71.89,2.60,211.67,7.84
1.00,8/10/2010," 1,508,239.93 ",0,63.93,2.63,211.75,7.84
1.00,15-10-2010," 1,459,409.10 ",0,67.18,2.72,211.81,7.84
1.00,22-10-2010," 1,345,454.00 ",0,69.86,2.73,211.86,7.84
1.00,29-10-2010," 1,384,209.22 ",0,69.64,2.72,211.91,7.84
1.00,5/11/2010," 1,551,659.28 ",0,58.74,2.69,211.96,7.84
1.00,12/11/2010," 1,494,479.49 ",0,59.61,2.73,212.00,7.84
1.00,19-11-2010," 1,483,784.18 ",0,51.41,2.77,211.89,7.84
1.00,26-11-2010," 1,955,624.11 ",1,64.52,2.74,211.75,7.84
1.00,3/12/2010," 1,548,033.78 ",0,49.27,2.71,211.61,7.84
1.00,10/12/2010," 1,682,614.26 ",0,46.33,2.84,211.47,7.84
1.00,17-12-2010," 1,891,034.93 ",0,49.84,2.87,211.41,7.84
1.00,24-12-2010," 2,387,950.20 ",0,52.33,2.89,211.41,7.84
1.00,31-12-2010," 1,367,320.01 ",1,48.43,2.94,211.40,7.84
1.00,7/1/2011," 1,444,732.28 ",0,48.27,2.98,211.40,7.74
1.00,14-01-2011," 1,391,013.96 ",0,35.40,2.98,211.46,7.74
1.00,21-01-2011," 1,327,405.42 ",0,44.04,3.02,211.83,7.74
1.00,28-01-2011," 1,316,899.31 ",0,43.83,3.01,212.20,7.74
1.00,4/2/2011," 1,606,629.58 ",0,42.27,2.99,212.57,7.74
1.00,11/2/2011," 1,649,614.93 ",1,36.39,3.02,212.94,7.74
1.00,18-02-2011," 1,686,842.78 ",0,57.36,3.05,213.25,7.74
1.00,25-02-2011," 1,456,800.28 ",0,62.90,3.07,213.54,7.74
1.00,4/3/2011," 1,636,263.41 ",0,59.58,3.29,213.82,7.74
1.00,11/3/2011," 1,553,191.63 ",0,53.56,3.46,214.11,7.74
1.00,18-03-2011," 1,576,818.06 ",0,62.76,3.49,214.36,7.74
1.00,25-03-2011," 1,541,102.38 ",0,69.97,3.47,214.60,7.74
1.00,1/4/2011," 1,495,064.75 ",0,59.17,3.52,214.84,7.68
1.00,8/4/2011," 1,614,259.35 ",0,67.84,3.62,215.07,7.68
1.00,15-04-2011," 1,559,889.00 ",0,71.27,3.74,215.29,7.68
1.00,22-04-2011," 1,564,819.81 ",0,72.99,3.81,215.46,7.68
1.00,29-04-2011," 1,455,090.69 ",0,72.03,3.81,215.63,7.68
1.00,6/5/2011," 1,629,391.28 ",0,64.61,3.91,215.80,7.68
1.00,13-05-2011," 1,604,775.58 ",0,75.64,3.90,215.96,7.68
1.00,20-05-2011," 1,428,218.27 ",0,67.63,3.91,215.73,7.68
1.00,27-05-2011," 1,466,046.67 ",0,77.72,3.79,215.50,7.68
1.00,3/6/2011," 1,635,078.41 ",0,83.00,3.70,215.27,7.68
1.00,10/6/2011," 1,588,948.32 ",0,83.13,3.65,215.04,7.68
1.00,17-06-2011," 1,532,114.86 ",0,86.41,3.64,215.00,7.68
1.00,24-06-2011," 1,438,830.15 ",0,83.58,3.59,215.09,7.68
1.00,1/7/2011," 1,488,538.09 ",0,85.55,3.52,215.18,7.96
1.00,8/7/2011," 1,534,849.64 ",0,85.83,3.48,215.28,7.96
1.00,15-07-2011," 1,455,119.97 ",0,88.54,3.58,215.36,7.96
1.00,22-07-2011," 1,396,926.82 ",0,85.77,3.65,215.42,7.96
1.00,29-07-2011," 1,352,219.79 ",0,86.83,3.68,215.48,7.96
1.00,5/8/2011," 1,624,383.75 ",0,91.65,3.68,215.54,7.96
1.00,12/8/2011," 1,525,147.09 ",0,90.76,3.64,215.61,7.96
1.00,19-08-2011," 1,530,761.43 ",0,89.94,3.55,215.67,7.96
1.00,26-08-2011," 1,464,693.46 ",0,87.96,3.52,215.73,7.96
1.00,2/9/2011," 1,550,229.22 ",0,87.83,3.53,215.80,7.96
1.00,9/9/2011," 1,540,471.24 ",1,76.00,3.55,215.86,7.96
1.00,16-09-2011," 1,514,259.78 ",0,79.94,3.53,216.04,7.96
1.00,23-09-2011," 1,380,020.27 ",0,75.80,3.47,216.38,7.96
1.00,30-09-2011," 1,394,561.83 ",0,79.69,3.36,216.71,7.96
1.00,7/10/2011," 1,630,989.95 ",0,69.31,3.29,217.05,7.87
1.00,14-10-2011," 1,493,525.93 ",0,71.74,3.27,217.36,7.87
1.00,21-10-2011," 1,502,562.78 ",0,63.71,3.35,217.52,7.87
1.00,28-10-2011," 1,445,249.09 ",0,66.57,3.37,217.68,7.87
1.00,4/11/2011," 1,697,229.58 ",0,54.98,3.33,217.84,7.87
1.00,11/11/2011," 1,594,938.89 ",0,59.11,3.30,218.00,7.87
1.00,18-11-2011," 1,539,483.70 ",0,62.25,3.31,218.22,7.87
1.00,25-11-2011," 2,033,320.66 ",1,60.14,3.24,218.47,7.87
1.00,2/12/2011," 1,584,083.95 ",0,48.91,3.17,218.71,7.87
