ProductID,Weight,FatContent,ProductVisibility,ProductType,Unit Price,Quantity,Total Sales,OutletID,Year,OutletSize,LocationType,OutletType
FDW58,21,Low Fat,0,Snack Foods,108,10000,1078622,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDW14,8,reg,0,Dairy,87,10000,873198,OUT017,2007,,Tier 2,Supermarket Type1
NCN55,15,Low Fat,0,Others,242,10000,2417538,OUT010,1998,,Tier 3,Grocery Store
FDQ58,7,Low Fat,0,Snack Foods,155,10000,1550340,OUT017,2007,,Tier 2,Supermarket Type1
FDY38,,Regular,0,Dairy,234,10000,2342300,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDH56,10,Regular,0,Fruits and Vegetables,117,10000,1171492,OUT046,1997,Small,Tier 1,Supermarket Type1
FDL48,19,Regular,0,Baking Goods,50,10001,501034,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDC48,,Low Fat,0,Baking Goods,81,10000,810592,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDN33,6,Regular,0,Snack Foods,96,10000,957436,OUT045,2002,,Tier 2,Supermarket Type1
FDA36,6,Low Fat,0,Baking Goods,187,10000,1868924,OUT017,2007,,Tier 2,Supermarket Type1
FDT44,17,Low Fat,0,Fruits and Vegetables,118,10000,1183466,OUT017,2007,,Tier 2,Supermarket Type1
FDQ56,7,Low Fat,0,Fruits and Vegetables,85,10000,853908,OUT045,2002,,Tier 2,Supermarket Type1
NCC54,,Low Fat,0,Health and Hygiene,240,10000,2404196,OUT019,1985,Small,Tier 1,Grocery Store
FDU11,5,Low Fat,0,Breads,122,10000,1223098,OUT049,1999,Medium,Tier 1,Supermarket Type1
DRL59,17,LF,0,Hard Drinks,52,10000,520298,OUT013,1987,High,Tier 3,Supermarket Type1
FDM24,6,Regular,0,Baking Goods,152,10000,1516366,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDI57,20,Low Fat,0,Seafood,199,10000,1987768,OUT045,2002,,Tier 2,Supermarket Type1
DRC12,18,Low Fat,0,Soft Drinks,192,10000,1922188,OUT018,2009,Medium,Tier 3,Supermarket Type2
NCM42,,Low Fat,0,Household,110,10000,1096912,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDA46,14,Low Fat,0,Snack Foods,194,10000,1937136,OUT010,1998,,Tier 3,Grocery Store
FDA31,7,Low Fat,0,Fruits and Vegetables,175,10000,1750080,OUT013,1987,High,Tier 3,Supermarket Type1
NCJ31,19,Low Fat,0,Others,240,10000,2399196,OUT035,2004,Small,Tier 2,Supermarket Type1
FDG52,14,LF,0,Frozen Foods,48,10000,477402,OUT046,1997,Small,Tier 1,Supermarket Type1
NCL19,,Low Fat,0,Others,142,10000,1423470,OUT019,1985,Small,Tier 1,Grocery Store
FDS10,19,Low Fat,0,Snack Foods,181,10000,1807318,OUT035,2004,Small,Tier 2,Supermarket Type1
