Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment
1,2010-12-02 00:00:00.000,1641957.44,1,38.51,2.548,211.2421698,8.106
1,2010-10-09 00:00:00.000,1507460.69,1,78.69,2.565,211.4951902,7.787
1,NULL,1955624.11,1,64.52,2.735,211.7484333,7.838
1,NULL,1367320.01,1,48.43,2.943,211.4049321,7.838
1,2011-11-02 00:00:00.000,1649614.93,1,36.39,3.022,212.9367046,7.742
1,2011-09-09 00:00:00.000,1540471.24,1,76,3.546,215.861056,7.962
1,NULL,2033320.66,1,60.14,3.236,218.4676211,7.866
1,NULL,1497462.72,1,44.55,3.129,219.5359898,7.866
1,2012-10-02 00:00:00.000,1802477.43,1,48.02,3.409,220.2651783,7.348
1,2012-07-09 00:00:00.000,1661767.33,1,83.96,3.73,222.4390153,6.908
2,2010-12-02 00:00:00.000,2137809.5,1,38.49,2.548,210.8979935,8.324
2,2010-10-09 00:00:00.000,1839128.83,1,79.09,2.565,211.1532104,8.099
2,NULL,2658725.29,1,62.98,2.735,211.4062867,8.163
2,NULL,1750434.55,1,47.3,2.943,211.064774,8.163
2,2011-11-02 00:00:00.000,2168041.61,1,33.19,3.022,212.5928624,8.028
2,2011-09-09 00:00:00.000,1748000.65,1,77.97,3.546,215.5148295,7.852
2,NULL,2614202.3,1,56.36,3.236,218.1130269,7.441
2,NULL,1874226.52,1,44.57,3.129,219.1773063,7.441
2,2012-10-02 00:00:00.000,2103322.68,1,46.98,3.409,219.9049073,7.057
2,2012-07-09 00:00:00.000,1898777.07,1,87.65,3.73,222.0747635,6.565
3,2010-12-02 00:00:00.000,420728.96,1,47.93,2.548,214.5747916,7.368
3,2010-10-09 00:00:00.000,352260.97,1,80.84,2.565,214.8065431,7.346
3,NULL,565567.84,1,68.71,2.735,215.0614025,7.564
3,NULL,382677.76,1,53.2,2.943,214.6986466,7.564
3,2011-11-02 00:00:00.000,430526.21,1,43.57,3.022,216.2660913,7.551
3,2011-09-09 00:00:00.000,377347.49,1,81.72,3.546,219.2135305,7.567
3,NULL,556925.19,1,68,3.236,221.9011185,7.197
3,NULL,410553.88,1,48.29,3.129,223.0090839,7.197
3,2012-10-02 00:00:00.000,473292.47,1,51.65,3.409,223.753643,6.833
